kind,identifier,name,source,license,url,description,chromosome
Biological Process,GO:0032474,otolith morphogenesis,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0032474,,
Biological Process,GO:0010536,positive regulation of activation of Janus kinase activity,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0010536,,
Biological Process,GO:0010759,positive regulation of macrophage chemotaxis,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0010759,,
Biological Process,GO:0009100,glycoprotein metabolic process,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0009100,,
Biological Process,GO:0038183,bile acid signaling pathway,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0038183,,
Biological Process,GO:0060167,regulation of adenosine receptor signaling pathway,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0060167,,
Biological Process,GO:0006726,eye pigment biosynthetic process,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0006726,,
Biological Process,GO:0010243,response to organonitrogen compound,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0010243,,
Biological Process,GO:0010455,positive regulation of cell fate commitment,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0010455,,
Biological Process,GO:0044362,negative regulation of molecular function in other organism,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0044362,,
Biological Process,GO:0060488,orthogonal dichotomous subdivision of terminal units involved in lung branching morphogenesis,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0060488,,
Biological Process,GO:0071169,establishment of protein localization to chromatin,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0071169,,
Biological Process,GO:0048640,negative regulation of developmental growth,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0048640,,
Biological Process,GO:0036296,response to increased oxygen levels,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0036296,,
Biological Process,GO:0048145,regulation of fibroblast proliferation,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0048145,,
Biological Process,GO:1990743,protein sialylation,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_1990743,,
Biological Process,GO:0009062,fatty acid catabolic process,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0009062,,
Biological Process,GO:0060474,positive regulation of sperm motility involved in capacitation,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0060474,,
Biological Process,GO:0097104,postsynaptic membrane assembly,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0097104,,
Biological Process,GO:1990776,response to angiotensin,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_1990776,,
Biological Process,GO:0001539,cilium or flagellum-dependent cell motility,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0001539,,
Biological Process,GO:0003072,renal control of peripheral vascular resistance involved in regulation of systemic arterial blood pressure,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0003072,,
Biological Process,GO:0008360,regulation of cell shape,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0008360,,
Biological Process,GO:0072595,maintenance of protein localization in organelle,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0072595,,
Biological Process,GO:0043407,negative regulation of MAP kinase activity,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0043407,,
Biological Process,GO:0035384,thioester biosynthetic process,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0035384,,
Biological Process,GO:0010758,regulation of macrophage chemotaxis,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0010758,,
Biological Process,GO:1900218,negative regulation of apoptotic process involved in metanephric nephron tubule development,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_1900218,,
Biological Process,GO:0007212,dopamine receptor signaling pathway,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0007212,,
Biological Process,GO:0090265,positive regulation of immune complex clearance by monocytes and macrophages,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0090265,,
Biological Process,GO:2000674,regulation of type B pancreatic cell apoptotic process,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_2000674,,
Biological Process,GO:0007259,JAK-STAT cascade,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0007259,,
Biological Process,GO:0044804,nucleophagy,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0044804,,
Biological Process,GO:0030502,negative regulation of bone mineralization,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0030502,,
Biological Process,GO:0000727,double-strand break repair via break-induced replication,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0000727,,
Biological Process,GO:0051012,microtubule sliding,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0051012,,
Biological Process,GO:0071284,cellular response to lead ion,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0071284,,
Biological Process,GO:0010692,regulation of alkaline phosphatase activity,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0010692,,
Biological Process,GO:0008105,asymmetric protein localization,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0008105,,
Biological Process,GO:0007140,male meiosis,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0007140,,
Biological Process,GO:1901224,positive regulation of NIK/NF-kappaB signaling,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_1901224,,
Biological Process,GO:0035441,cell migration involved in vasculogenesis,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0035441,,
Biological Process,GO:0009629,response to gravity,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0009629,,
Biological Process,GO:0032880,regulation of protein localization,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0032880,,
Biological Process,GO:0014824,artery smooth muscle contraction,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0014824,,
