kind,identifier,name,source,license,url,description,chromosome
Cellular Component,GO:0000784,"nuclear chromosome, telomeric region",Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0000784,,
Cellular Component,GO:0034677,integrin alpha7-beta1 complex,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0034677,,
Cellular Component,GO:0098798,mitochondrial protein complex,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0098798,,
Cellular Component,GO:0033178,"proton-transporting two-sector ATPase complex, catalytic domain",Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0033178,,
Cellular Component,GO:0032449,CBM complex,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0032449,,
Cellular Component,GO:0098559,cytoplasmic side of early endosome membrane,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0098559,,
Cellular Component,GO:0072687,meiotic spindle,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0072687,,
Cellular Component,GO:0060199,clathrin-sculpted glutamate transport vesicle,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0060199,,
Cellular Component,GO:0005818,aster,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0005818,,
Cellular Component,GO:0000942,condensed nuclear chromosome outer kinetochore,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0000942,,
Cellular Component,GO:1903095,ribonuclease III complex,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_1903095,,
Cellular Component,GO:0060076,excitatory synapse,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0060076,,
Cellular Component,GO:0014801,longitudinal sarcoplasmic reticulum,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0014801,,
Cellular Component,GO:0042825,TAP complex,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0042825,,
Cellular Component,GO:0070557,PCNA-p21 complex,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0070557,,
Cellular Component,GO:0060091,kinocilium,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0060091,,
Cellular Component,GO:0098575,lumenal side of lysosomal membrane,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0098575,,
Cellular Component,GO:0071339,MLL1 complex,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0071339,,
Cellular Component,GO:0030314,junctional membrane complex,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0030314,,
Cellular Component,GO:0045239,tricarboxylic acid cycle enzyme complex,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0045239,,
Cellular Component,GO:1990745,EARP complex,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_1990745,,
Cellular Component,GO:0000125,PCAF complex,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0000125,,
Cellular Component,GO:0036454,growth factor complex,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0036454,,
Cellular Component,GO:0097433,dense body,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0097433,,
Cellular Component,GO:0014069,postsynaptic density,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0014069,,
Cellular Component,GO:0005685,U1 snRNP,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0005685,,
Cellular Component,GO:0098687,chromosomal region,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0098687,,
Cellular Component,GO:0016533,cyclin-dependent protein kinase 5 holoenzyme complex,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0016533,,
Cellular Component,GO:1903768,taste receptor complex,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_1903768,,
Cellular Component,GO:0032797,SMN complex,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0032797,,
Cellular Component,GO:0005581,collagen trimer,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0005581,,
Cellular Component,GO:0071437,invadopodium,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0071437,,
Cellular Component,GO:0034361,very-low-density lipoprotein particle,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0034361,,
Cellular Component,GO:0017109,glutamate-cysteine ligase complex,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0017109,,
Cellular Component,GO:0031674,I band,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0031674,,
Cellular Component,GO:1990666,PCSK9-LDLR complex,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_1990666,,
Cellular Component,GO:0097632,extrinsic component of pre-autophagosomal structure membrane,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0097632,,
Cellular Component,GO:0035869,ciliary transition zone,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0035869,,
Cellular Component,GO:0008076,voltage-gated potassium channel complex,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0008076,,
Cellular Component,GO:0005899,insulin receptor complex,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0005899,,
Cellular Component,GO:0005924,cell-substrate adherens junction,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0005924,,
Cellular Component,GO:0048475,coated membrane,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0048475,,
Cellular Component,GO:0097346,INO80-type complex,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0097346,,
Cellular Component,GO:0072589,box H/ACA scaRNP complex,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0072589,,
Cellular Component,GO:0019897,extrinsic component of plasma membrane,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0019897,,
Cellular Component,GO:0010370,perinucleolar chromocenter,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0010370,,
Cellular Component,GO:0098791,Golgi subcompartment,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0098791,,
Cellular Component,GO:0031085,BLOC-3 complex,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0031085,,
Cellular Component,GO:0060203,clathrin-sculpted glutamate transport vesicle membrane,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0060203,,
Cellular Component,GO:0042611,MHC protein complex,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0042611,,
Cellular Component,GO:0097440,apical dendrite,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0097440,,
Cellular Component,GO:0031010,ISWI-type complex,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0031010,,
Cellular Component,GO:0034703,cation channel complex,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0034703,,
Cellular Component,GO:0016235,aggresome,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0016235,,
Cellular Component,GO:0042827,platelet dense granule,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0042827,,
Cellular Component,GO:0032580,Golgi cisterna membrane,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0032580,,
Cellular Component,GO:0016363,nuclear matrix,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0016363,,
Cellular Component,GO:0044304,main axon,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0044304,,
Cellular Component,GO:0000800,lateral element,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0000800,,
Cellular Component,GO:0030688,"preribosome, small subunit precursor",Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0030688,,
Cellular Component,GO:0045263,"proton-transporting ATP synthase complex, coupling factor F(o)",Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0045263,,
Cellular Component,GO:0005782,peroxisomal matrix,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0005782,,
Cellular Component,GO:0033263,CORVET complex,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0033263,,
Cellular Component,GO:0034366,spherical high-density lipoprotein particle,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0034366,,
