start_id,end_id,relationship_type,direction
DOID:1826,UBERON:0002606,localizes,both
DOID:1826,D003655,presents,both
DOID:1826,183,associates,both
DOID:1826,6812,associates,both
DOID:1826,D004421,presents,both
DOID:1826,6714,associates,both
DOID:1826,7442,associates,both
DOID:1826,23583,associates,both
DOID:1826,51604,associates,both
DOID:1826,8754,associates,both
DOID:1826,2475,associates,both
DOID:1826,UBERON:0001723,localizes,both
DOID:1826,D019575,presents,both
DOID:1826,1234,associates,both
DOID:1826,4318,associates,both
DOID:1826,3572,associates,both
DOID:1826,151295,associates,both
DOID:1826,834,associates,both
DOID:1826,6506,associates,both
DOID:1826,4915,associates,both
DOID:1826,5743,associates,both
DOID:1826,8869,associates,both
DOID:1826,D038901,presents,both
DOID:1826,D003128,presents,both
DOID:1826,4885,associates,both
DOID:1826,25977,associates,both
DOID:1826,6324,associates,both
DOID:1826,D009207,presents,both
DOID:1826,2913,associates,both
DOID:1826,998,associates,both
DOID:1826,UBERON:0001759,localizes,both
DOID:1826,2009,associates,both
DOID:1826,3553,associates,both
DOID:1826,158,associates,both
DOID:1826,UBERON:0002037,localizes,both
DOID:1826,UBERON:0001690,localizes,both
DOID:1826,1185,associates,both
DOID:1826,D020754,presents,both
DOID:1826,729230,associates,both
DOID:1826,UBERON:0000033,localizes,both
DOID:1826,3745,associates,both
DOID:1826,UBERON:0003129,localizes,both
DOID:1826,18,associates,both
DOID:1826,3746,associates,both
DOID:1826,4317,associates,both
DOID:1826,D013035,presents,both
DOID:1826,6329,associates,both
DOID:1826,150,associates,both
DOID:1826,5329,associates,both
DOID:1826,2890,associates,both
DOID:1826,5649,associates,both
DOID:1826,3727,associates,both
DOID:1826,5228,associates,both
DOID:1826,1742,associates,both
DOID:1826,3786,associates,both
DOID:1826,5443,associates,both
DOID:1826,7416,associates,both
DOID:1826,361,associates,both
DOID:1826,D020238,presents,both
DOID:1826,9839,associates,both
DOID:1826,170302,associates,both
DOID:1826,5020,associates,both
DOID:1826,84942,associates,both
DOID:1826,3356,associates,both
DOID:1826,9353,associates,both
DOID:1826,7422,associates,both
DOID:1826,4842,associates,both
DOID:1826,D020182,presents,both
DOID:1826,D001264,presents,both
DOID:1826,7249,associates,both
DOID:1826,114327,associates,both
DOID:1826,2596,associates,both
DOID:1826,348,associates,both
DOID:1826,7054,associates,both
DOID:1826,UBERON:0002129,localizes,both
DOID:1826,5048,associates,both
DOID:1826,3777,associates,both
DOID:1826,55275,associates,both
DOID:1826,D010291,presents,both
DOID:1826,8645,associates,both
DOID:1826,2668,associates,both
DOID:1826,D008569,presents,both
DOID:1826,3363,associates,both
DOID:1826,624,associates,both
DOID:1826,9021,associates,both
DOID:1826,590,associates,both
DOID:1826,23236,associates,both
DOID:1826,55227,associates,both
DOID:1826,81570,associates,both
DOID:1826,D007806,presents,both
DOID:1826,D001259,presents,both
DOID:1826,256471,associates,both
DOID:1826,1268,associates,both
DOID:1826,472,associates,both
DOID:1826,5328,associates,both
DOID:1826,D001041,presents,both
DOID:1826,1756,associates,both
DOID:1826,6558,associates,both
DOID:1826,10804,associates,both
DOID:1826,288,associates,both
DOID:1826,2911,associates,both
DOID:1826,55163,associates,both
DOID:1826,27286,associates,both
DOID:1826,2562,associates,both
DOID:1826,4155,associates,both
DOID:1826,2561,associates,both
DOID:1826,3606,associates,both
DOID:1826,54982,associates,both
DOID:1826,348980,associates,both
DOID:1826,197,associates,both
DOID:1826,8629,associates,both
DOID:1826,1846,associates,both
DOID:1826,4668,associates,both
DOID:1826,UBERON:0002130,localizes,both
DOID:1826,57030,associates,both
DOID:1826,488,associates,both
DOID:1826,5478,associates,both
DOID:1826,9570,associates,both
DOID:1826,2566,associates,both
DOID:1826,2670,associates,both
DOID:1826,84295,associates,both
DOID:1826,776,associates,both
DOID:1826,D013575,presents,both
DOID:1826,10803,associates,both
DOID:1826,2563,associates,both
DOID:1826,3557,associates,both
DOID:1826,6751,associates,both
DOID:1826,1137,associates,both
DOID:1826,3751,associates,both
DOID:1826,50618,associates,both
DOID:1826,2897,associates,both
DOID:1826,1965,associates,both
DOID:1826,4282,associates,both
DOID:1826,5274,associates,both
DOID:1826,2055,associates,both
DOID:1826,D014474,presents,both
DOID:1826,UBERON:0001649,localizes,both
DOID:1826,57465,associates,both
DOID:1826,6853,associates,both
DOID:1826,1181,associates,both
DOID:1826,6328,associates,both
DOID:1826,4826,associates,both
DOID:1826,26610,associates,both
DOID:1826,7248,associates,both
DOID:1826,5859,associates,both
DOID:1826,10479,associates,both
DOID:1826,8912,associates,both
DOID:1826,UBERON:0002385,localizes,both
DOID:1826,1232,associates,both
DOID:1826,6640,associates,both
DOID:1826,5243,associates,both
DOID:1826,6507,associates,both
DOID:1826,5428,associates,both
DOID:1826,1583,associates,both
DOID:1826,51114,associates,both
DOID:1826,6792,associates,both
DOID:1826,10898,associates,both
DOID:1826,623,associates,both
