kind,identifier,name,source,license,url,description,chromosome
Molecular Function,GO:0031753,endothelial differentiation G-protein coupled receptor binding,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0031753,,
Molecular Function,GO:0030619,U1 snRNA binding,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0030619,,
Molecular Function,GO:0018812,3-hydroxyacyl-CoA dehydratase activity,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0018812,,
Molecular Function,GO:0019212,phosphatase inhibitor activity,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0019212,,
Molecular Function,GO:0004658,propionyl-CoA carboxylase activity,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0004658,,
Molecular Function,GO:0032090,Pyrin domain binding,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0032090,,
Molecular Function,GO:0070579,methylcytosine dioxygenase activity,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0070579,,
Molecular Function,GO:0051183,vitamin transporter activity,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0051183,,
Molecular Function,GO:0008263,pyrimidine-specific mismatch base pair DNA N-glycosylase activity,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0008263,,
Molecular Function,GO:0008556,potassium-transporting ATPase activity,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0008556,,
Molecular Function,GO:0004954,prostanoid receptor activity,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0004954,,
Molecular Function,GO:0032181,dinucleotide repeat insertion binding,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0032181,,
Molecular Function,GO:0008310,single-stranded DNA 3'-5' exodeoxyribonuclease activity,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0008310,,
Molecular Function,GO:0051015,actin filament binding,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0051015,,
Molecular Function,GO:0016531,copper chaperone activity,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0016531,,
Molecular Function,GO:0017111,nucleoside-triphosphatase activity,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0017111,,
Molecular Function,GO:0030023,extracellular matrix constituent conferring elasticity,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0030023,,
Molecular Function,GO:0008124,4-alpha-hydroxytetrahydrobiopterin dehydratase activity,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0008124,,
Molecular Function,GO:0005251,delayed rectifier potassium channel activity,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0005251,,
Molecular Function,GO:0016491,oxidoreductase activity,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0016491,,
Molecular Function,GO:0004666,prostaglandin-endoperoxide synthase activity,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0004666,,
Molecular Function,GO:0009975,cyclase activity,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0009975,,
Molecular Function,GO:0004930,G-protein coupled receptor activity,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0004930,,
Molecular Function,GO:0005123,death receptor binding,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0005123,,
Molecular Function,GO:0004596,peptide alpha-N-acetyltransferase activity,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0004596,,
Molecular Function,GO:0000832,inositol hexakisphosphate 5-kinase activity,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0000832,,
Molecular Function,GO:0019776,Atg8 ligase activity,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0019776,,
Molecular Function,GO:0016628,"oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor",Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0016628,,
Molecular Function,GO:0001875,lipopolysaccharide receptor activity,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0001875,,
Molecular Function,GO:0017080,sodium channel regulator activity,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0017080,,
Molecular Function,GO:0008865,fructokinase activity,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0008865,,
Molecular Function,GO:0005544,calcium-dependent phospholipid binding,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0005544,,
Molecular Function,GO:0005133,interferon-gamma receptor binding,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0005133,,
Molecular Function,GO:0016634,"oxidoreductase activity, acting on the CH-CH group of donors, oxygen as acceptor",Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0016634,,
Molecular Function,GO:0070011,"peptidase activity, acting on L-amino acid peptides",Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0070011,,
Molecular Function,GO:0016672,"oxidoreductase activity, acting on a sulfur group of donors, quinone or similar compound as acceptor",Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0016672,,
Molecular Function,GO:0015189,L-lysine transmembrane transporter activity,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0015189,,
Molecular Function,GO:0004822,isoleucine-tRNA ligase activity,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0004822,,
Molecular Function,GO:0038187,pattern recognition receptor activity,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0038187,,
Molecular Function,GO:0004307,ethanolaminephosphotransferase activity,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0004307,,
Molecular Function,GO:0071886,"1-(4-iodo-2,5-dimethoxyphenyl)propan-2-amine binding",Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0071886,,
Molecular Function,GO:0050997,quaternary ammonium group binding,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0050997,,
Molecular Function,GO:0015145,monosaccharide transmembrane transporter activity,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0015145,,
Molecular Function,GO:0001735,prenylcysteine oxidase activity,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0001735,,
Molecular Function,GO:0005502,11-cis retinal binding,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0005502,,
Molecular Function,GO:0016971,flavin-linked sulfhydryl oxidase activity,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0016971,,
Molecular Function,GO:0005167,neurotrophin TRK receptor binding,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0005167,,
Molecular Function,GO:0035197,siRNA binding,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0035197,,
Molecular Function,GO:0016901,"oxidoreductase activity, acting on the CH-OH group of donors, quinone or similar compound as acceptor",Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0016901,,
Molecular Function,GO:0016670,"oxidoreductase activity, acting on a sulfur group of donors, oxygen as acceptor",Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0016670,,
Molecular Function,GO:0008417,fucosyltransferase activity,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0008417,,
Molecular Function,GO:0032137,guanine/thymine mispair binding,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0032137,,
Molecular Function,GO:0090631,pre-miRNA transporter activity,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0090631,,
Molecular Function,GO:0035033,histone deacetylase regulator activity,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0035033,,
Molecular Function,GO:0031995,insulin-like growth factor II binding,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0031995,,
Molecular Function,GO:0071936,coreceptor activity involved in Wnt signaling pathway,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0071936,,
Molecular Function,GO:0036312,phosphatidylinositol 3-kinase regulatory subunit binding,Gene Ontology,CC BY 4.0,http://purl.obolibrary.org/obo/GO_0036312,,
