kind,identifier,name,source,license,url,description,chromosome
Pathway,PC7_3805,FCERI mediated Ca+2 mobilization,Reactome via Pathway Commons,CC BY 4.0,,,
Pathway,PC7_3964,Formation of annular gap junctions,Reactome via Pathway Commons,CC BY 4.0,,,
Pathway,PC7_1532,Activation of G protein gated Potassium channels,Reactome via Pathway Commons,CC BY 4.0,,,
Pathway,PC7_4961,Leukotriene receptors,Reactome via Pathway Commons,CC BY 4.0,,,
Pathway,PC7_2651,"Cobalamin (Cbl, vitamin B12) transport and metabolism",Reactome via Pathway Commons,CC BY 4.0,,,
Pathway,PC7_1578,Adrenoceptors,Reactome via Pathway Commons,CC BY 4.0,,,
Pathway,PC7_6660,Pyrimidine biosynthesis,Reactome via Pathway Commons,CC BY 4.0,,,
Pathway,PC7_6403,Peroxisomal lipid metabolism,Reactome via Pathway Commons,CC BY 4.0,,,
Pathway,WP1545_r84697,miRNAs involved in DNA damage response,WikiPathways,CC BY 3.0,http://www.wikipathways.org/instance/WP1545_r84697,,
Pathway,PC7_1223,Abnormal metabolism in phenylketonuria,Reactome via Pathway Commons,CC BY 4.0,,,
Pathway,PC7_4037,GLI3 is processed to GLI3R by the proteasome,Reactome via Pathway Commons,CC BY 4.0,,,
Pathway,PC7_8766,Vpu mediated degradation of CD4,Reactome via Pathway Commons,CC BY 4.0,,,
Pathway,PC7_3991,G alpha (12/13) signalling events,Reactome via Pathway Commons,CC BY 4.0,,,
Pathway,WP3595_r84854,mir-124 predicted interactions with cell cycle and differentiation ,WikiPathways,CC BY 3.0,http://www.wikipathways.org/instance/WP3595_r84854,,
Pathway,PC7_610,2-LTR circle formation,Reactome via Pathway Commons,CC BY 4.0,,,
Pathway,PC7_4219,Glutathione conjugation,Reactome via Pathway Commons,CC BY 4.0,,,
Pathway,PC7_5530,Mitotic M-M/G1 phases,Reactome via Pathway Commons,CC BY 4.0,,,
Pathway,PC7_3994,G alpha (s) signalling events,Reactome via Pathway Commons,CC BY 4.0,,,
Pathway,PC7_4725,Inflammasomes,Reactome via Pathway Commons,CC BY 4.0,,,
Pathway,PC7_3326,Downstream signaling events of B Cell Receptor (BCR),Reactome via Pathway Commons,CC BY 4.0,,,
Pathway,PC7_2334,CREB phosphorylation through the activation of CaMKK,Reactome via Pathway Commons,CC BY 4.0,,,
Pathway,PC7_4269,Glycolysis,Reactome via Pathway Commons,CC BY 4.0,,,
Pathway,PC7_11018,beta-catenin independent WNT signaling,Reactome via Pathway Commons,CC BY 4.0,,,
Pathway,PC7_4009,G2/M DNA damage checkpoint,Reactome via Pathway Commons,CC BY 4.0,,,
Pathway,PC7_5332,Metabolism of steroid hormones and vitamin D,Reactome via Pathway Commons,CC BY 4.0,,,
Pathway,PC7_6906,Regulation of gene expression in endocrine-committed (NEUROG3+) progenitor cells,Reactome via Pathway Commons,CC BY 4.0,,,
Pathway,PC7_12285,p75NTR signals via NF-kB,Reactome via Pathway Commons,CC BY 4.0,,,
Pathway,WP2943_r83778,Hypoxia-mediated EMT and Stemness,WikiPathways,CC BY 3.0,http://www.wikipathways.org/instance/WP2943_r83778,,
Pathway,PC7_4766,Interactions of Rev with host cellular proteins,Reactome via Pathway Commons,CC BY 4.0,,,
Pathway,PC7_1810,Assembly Of The HIV Virion,Reactome via Pathway Commons,CC BY 4.0,,,
Pathway,WP176_r82704,Folate Metabolism,WikiPathways,CC BY 3.0,http://www.wikipathways.org/instance/WP176_r82704,,
Pathway,PC7_1596,Alpha-defensins,Reactome via Pathway Commons,CC BY 4.0,,,
Pathway,WP2870_r79555,Extracellular vesicle-mediated signaling in recipient cells,WikiPathways,CC BY 3.0,http://www.wikipathways.org/instance/WP2870_r79555,,
Pathway,PC7_5886,Neurofascin interactions,Reactome via Pathway Commons,CC BY 4.0,,,
Pathway,WP61_r78592,Notch Signaling Pathway,WikiPathways,CC BY 3.0,http://www.wikipathways.org/instance/WP61_r78592,,
Pathway,PC7_6870,Reelin signaling pathway,PID via Pathway Commons,CC0 1.0,,,
Pathway,PC7_1105,ALK2 signaling events,PID via Pathway Commons,CC0 1.0,,,
Pathway,PC7_3864,FRS2-mediated cascade,Reactome via Pathway Commons,CC BY 4.0,,,
Pathway,WP2361_r84551,Gastric Cancer Network 1,WikiPathways,CC BY 3.0,http://www.wikipathways.org/instance/WP2361_r84551,,
Pathway,PC7_12266,p38 MAPK signaling pathway,PID via Pathway Commons,CC0 1.0,,,
