kind,identifier,name,source,license,url,description,chromosome
Pharmacologic Class,N0000007632,Thyroxine,FDA via DrugCentral,CC BY 4.0,http://purl.bioontology.org/ontology/NDFRT/N0000007632,,
Pharmacologic Class,N0000011272,Thiazolidinediones,FDA via DrugCentral,CC BY 4.0,http://purl.bioontology.org/ontology/NDFRT/N0000011272,,
Pharmacologic Class,N0000178477,Decreased Blood Pressure,FDA via DrugCentral,CC BY 4.0,http://purl.bioontology.org/ontology/NDFRT/N0000178477,,
Pharmacologic Class,N0000010288,Osmotic Activity,FDA via DrugCentral,CC BY 4.0,http://purl.bioontology.org/ontology/NDFRT/N0000010288,,
Pharmacologic Class,N0000190114,Cytochrome P450 3A Inhibitors,FDA via DrugCentral,CC BY 4.0,http://purl.bioontology.org/ontology/NDFRT/N0000190114,,
Pharmacologic Class,N0000175799,Dopamine D2 Antagonists,FDA via DrugCentral,CC BY 4.0,http://purl.bioontology.org/ontology/NDFRT/N0000175799,,
Pharmacologic Class,N0000000114,Dopamine Uptake Inhibitors,FDA via DrugCentral,CC BY 4.0,http://purl.bioontology.org/ontology/NDFRT/N0000000114,,
Pharmacologic Class,N0000175732,Neuromuscular Nondepolarizing Blockade,FDA via DrugCentral,CC BY 4.0,http://purl.bioontology.org/ontology/NDFRT/N0000175732,,
Pharmacologic Class,N0000175729,Central Nervous System Stimulation,FDA via DrugCentral,CC BY 4.0,http://purl.bioontology.org/ontology/NDFRT/N0000175729,,
Pharmacologic Class,N0000008779,Decreased Parasympathetic Acetylcholine Activity,FDA via DrugCentral,CC BY 4.0,http://purl.bioontology.org/ontology/NDFRT/N0000008779,,
Pharmacologic Class,N0000007618,Ergolines,FDA via DrugCentral,CC BY 4.0,http://purl.bioontology.org/ontology/NDFRT/N0000007618,,
Pharmacologic Class,N0000175654,Gonadotropin Releasing Hormone Receptor Agonists,FDA via DrugCentral,CC BY 4.0,http://purl.bioontology.org/ontology/NDFRT/N0000175654,,
Pharmacologic Class,N0000167094,Benzothiazoles,FDA via DrugCentral,CC BY 4.0,http://purl.bioontology.org/ontology/NDFRT/N0000167094,,
Pharmacologic Class,N0000020024,Sclerosing Activity,FDA via DrugCentral,CC BY 4.0,http://purl.bioontology.org/ontology/NDFRT/N0000020024,,
Pharmacologic Class,N0000175379,Arteriolar Vasodilation,FDA via DrugCentral,CC BY 4.0,http://purl.bioontology.org/ontology/NDFRT/N0000175379,,
Pharmacologic Class,N0000175764,Serotonin 1d Receptor Agonists,FDA via DrugCentral,CC BY 4.0,http://purl.bioontology.org/ontology/NDFRT/N0000175764,,
Pharmacologic Class,N0000175914,Increased Coagulation Factor VIII Activity,FDA via DrugCentral,CC BY 4.0,http://purl.bioontology.org/ontology/NDFRT/N0000175914,,
Pharmacologic Class,N0000007151,Folic Acid,FDA via DrugCentral,CC BY 4.0,http://purl.bioontology.org/ontology/NDFRT/N0000007151,,
Pharmacologic Class,N0000008053,Sulfones,FDA via DrugCentral,CC BY 4.0,http://purl.bioontology.org/ontology/NDFRT/N0000008053,,
