kind,identifier,name,source,license,url,description,chromosome
Side Effect,C0023448,Lymphocytic leukaemia,UMLS via SIDER 4.1,CC BY-NC-SA 4.0,http://identifiers.org/umls/C0023448,,
Side Effect,C0575810,Hands weakness of,UMLS via SIDER 4.1,CC BY-NC-SA 4.0,http://identifiers.org/umls/C0575810,,
Side Effect,C0025193,Melancholia,UMLS via SIDER 4.1,CC BY-NC-SA 4.0,http://identifiers.org/umls/C0025193,,
Side Effect,C0578687,Sore eye,UMLS via SIDER 4.1,CC BY-NC-SA 4.0,http://identifiers.org/umls/C0578687,,
Side Effect,C0919671,Subileus,UMLS via SIDER 4.1,CC BY-NC-SA 4.0,http://identifiers.org/umls/C0919671,,
Side Effect,C0237849,Skin exfoliation,UMLS via SIDER 4.1,CC BY-NC-SA 4.0,http://identifiers.org/umls/C0237849,,
Side Effect,C0042267,Vaginal inflammation,UMLS via SIDER 4.1,CC BY-NC-SA 4.0,http://identifiers.org/umls/C0042267,,
Side Effect,C1141885,Sclerosing encapsulating peritonitis,UMLS via SIDER 4.1,CC BY-NC-SA 4.0,http://identifiers.org/umls/C1141885,,
Side Effect,C0339807,House dust allergy,UMLS via SIDER 4.1,CC BY-NC-SA 4.0,http://identifiers.org/umls/C0339807,,
Side Effect,C0235222,Diastolic hypertension,UMLS via SIDER 4.1,CC BY-NC-SA 4.0,http://identifiers.org/umls/C0235222,,
Side Effect,C0850638,Infected bites,UMLS via SIDER 4.1,CC BY-NC-SA 4.0,http://identifiers.org/umls/C0850638,,
Side Effect,C1456329,Stomach dilation procedure,UMLS via SIDER 4.1,CC BY-NC-SA 4.0,http://identifiers.org/umls/C1456329,,
Side Effect,C0017181,Gastrointestinal haemorrhage,UMLS via SIDER 4.1,CC BY-NC-SA 4.0,http://identifiers.org/umls/C0017181,,
Side Effect,C3160759,Tumour cell mobilisation,UMLS via SIDER 4.1,CC BY-NC-SA 4.0,http://identifiers.org/umls/C3160759,,
Side Effect,C0684275,Haemophilia,UMLS via SIDER 4.1,CC BY-NC-SA 4.0,http://identifiers.org/umls/C0684275,,
Side Effect,C0743668,Limb injury,UMLS via SIDER 4.1,CC BY-NC-SA 4.0,http://identifiers.org/umls/C0743668,,
Side Effect,C0085612,Ventricular arrhythmia,UMLS via SIDER 4.1,CC BY-NC-SA 4.0,http://identifiers.org/umls/C0085612,,
Side Effect,C0040210,VT,UMLS via SIDER 4.1,CC BY-NC-SA 4.0,http://identifiers.org/umls/C0040210,,
Side Effect,C0392676,Hyperpyrexia,UMLS via SIDER 4.1,CC BY-NC-SA 4.0,http://identifiers.org/umls/C0392676,,
Side Effect,C0003079,Pupils unequal,UMLS via SIDER 4.1,CC BY-NC-SA 4.0,http://identifiers.org/umls/C0003079,,
Side Effect,C1175175,Severe acute respiratory syndrome,UMLS via SIDER 4.1,CC BY-NC-SA 4.0,http://identifiers.org/umls/C1175175,,
Side Effect,C0151500,Anticholinergic syndrome,UMLS via SIDER 4.1,CC BY-NC-SA 4.0,http://identifiers.org/umls/C0151500,,
Side Effect,C1963790,Vulvovaginal burning sensation,UMLS via SIDER 4.1,CC BY-NC-SA 4.0,http://identifiers.org/umls/C1963790,,
Side Effect,C0040261,Onychomycosis,UMLS via SIDER 4.1,CC BY-NC-SA 4.0,http://identifiers.org/umls/C0040261,,
Side Effect,C0014358,Pseudomembranous enterocolitis,UMLS via SIDER 4.1,CC BY-NC-SA 4.0,http://identifiers.org/umls/C0014358,,
Side Effect,C0233763,"Hallucination, visual",UMLS via SIDER 4.1,CC BY-NC-SA 4.0,http://identifiers.org/umls/C0233763,,
Side Effect,C0857112,Glaucoma both eyes,UMLS via SIDER 4.1,CC BY-NC-SA 4.0,http://identifiers.org/umls/C0857112,,
Side Effect,C0521634,Genital itching female,UMLS via SIDER 4.1,CC BY-NC-SA 4.0,http://identifiers.org/umls/C0521634,,
Side Effect,C0853011,Diabetic hyperglycaemic coma,UMLS via SIDER 4.1,CC BY-NC-SA 4.0,http://identifiers.org/umls/C0853011,,
Side Effect,C0853875,Myoglobin urine present,UMLS via SIDER 4.1,CC BY-NC-SA 4.0,http://identifiers.org/umls/C0853875,,
Side Effect,C0522224,Paralysis,UMLS via SIDER 4.1,CC BY-NC-SA 4.0,http://identifiers.org/umls/C0522224,,
Side Effect,C0344304,Abdominal pain generalised,UMLS via SIDER 4.1,CC BY-NC-SA 4.0,http://identifiers.org/umls/C0344304,,
Side Effect,C0006849,Oral candidiasis,UMLS via SIDER 4.1,CC BY-NC-SA 4.0,http://identifiers.org/umls/C0006849,,
Side Effect,C0151529,Bleeding time prolonged,UMLS via SIDER 4.1,CC BY-NC-SA 4.0,http://identifiers.org/umls/C0151529,,
Side Effect,C3160947,CNS toxicity,UMLS via SIDER 4.1,CC BY-NC-SA 4.0,http://identifiers.org/umls/C3160947,,
Side Effect,C0016867,Furunculosis,UMLS via SIDER 4.1,CC BY-NC-SA 4.0,http://identifiers.org/umls/C0016867,,
Side Effect,C0542051,Instability vasomotor,UMLS via SIDER 4.1,CC BY-NC-SA 4.0,http://identifiers.org/umls/C0542051,,
Side Effect,C0750887,Adrenal gland cancer,UMLS via SIDER 4.1,CC BY-NC-SA 4.0,http://identifiers.org/umls/C0750887,,
Side Effect,C0020579,Hypervitaminosis A,UMLS via SIDER 4.1,CC BY-NC-SA 4.0,http://identifiers.org/umls/C0020579,,
Side Effect,C0853023,Blood parathyroid hormone increased,UMLS via SIDER 4.1,CC BY-NC-SA 4.0,http://identifiers.org/umls/C0853023,,
Side Effect,C0025312,Meningomyelocele,UMLS via SIDER 4.1,CC BY-NC-SA 4.0,http://identifiers.org/umls/C0025312,,
