kind,identifier,name,source,license,url,description,chromosome
Anatomy,UBERON:0001533,subclavian artery,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001533,,
Anatomy,UBERON:0000020,sense organ,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0000020,,
Anatomy,UBERON:0001690,ear,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001690,,
Anatomy,UBERON:0002371,bone marrow,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0002371,,
Anatomy,UBERON:0001890,forebrain,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001890,,
Anatomy,UBERON:0001587,subclavian vein,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001587,,
Anatomy,UBERON:0002606,neuropil,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0002606,,
Anatomy,UBERON:0001980,arteriole,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001980,,
Anatomy,UBERON:0001437,epiphysis,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001437,,
Anatomy,UBERON:0001736,submandibular gland,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001736,,
Anatomy,UBERON:0001494,ulnar nerve,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001494,,
Anatomy,UBERON:0001908,optic tract,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001908,,
Anatomy,UBERON:0001007,digestive system,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001007,,
Anatomy,UBERON:0001837,duct of salivary gland,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001837,,
Anatomy,UBERON:0001866,sebum,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001866,,
Anatomy,UBERON:0000991,gonad,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0000991,,
Anatomy,UBERON:0001111,intercostal muscle,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001111,,
Anatomy,UBERON:0002450,decidua,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0002450,,
Anatomy,UBERON:0001760,frontal sinus,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001760,,
