kind,identifier,name,source,license,url,description,chromosome
Compound,DB00201,Caffeine,DrugBank,CC BY-NC 4.0,http://www.drugbank.ca/drugs/DB00201,,
Compound,DB09019,Bromhexine,DrugBank,CC BY-NC 4.0,http://www.drugbank.ca/drugs/DB09019,,
Compound,DB01267,Paliperidone,DrugBank,CC BY-NC 4.0,http://www.drugbank.ca/drugs/DB01267,,
Compound,DB00174,L-Asparagine,DrugBank,CC BY-NC 4.0,http://www.drugbank.ca/drugs/DB00174,,
Compound,DB00697,Tizanidine,DrugBank,CC BY-NC 4.0,http://www.drugbank.ca/drugs/DB00697,,
Compound,DB00137,Xanthophyll,DrugBank,CC BY-NC 4.0,http://www.drugbank.ca/drugs/DB00137,,
Compound,DB08834,Tauroursodeoxycholic acid,DrugBank,CC BY-NC 4.0,http://www.drugbank.ca/drugs/DB08834,,
Compound,DB00737,Meclizine,DrugBank,CC BY-NC 4.0,http://www.drugbank.ca/drugs/DB00737,,
Compound,DB00377,Palonosetron,DrugBank,CC BY-NC 4.0,http://www.drugbank.ca/drugs/DB00377,,
Compound,DB01040,Hydroxystilbamidine Isethionate,DrugBank,CC BY-NC 4.0,http://www.drugbank.ca/drugs/DB01040,,
Compound,DB00699,Nicergoline,DrugBank,CC BY-NC 4.0,http://www.drugbank.ca/drugs/DB00699,,
Compound,DB09003,Clocapramine,DrugBank,CC BY-NC 4.0,http://www.drugbank.ca/drugs/DB09003,,
Compound,DB00747,Scopolamine,DrugBank,CC BY-NC 4.0,http://www.drugbank.ca/drugs/DB00747,,
Compound,DB00742,Mannitol,DrugBank,CC BY-NC 4.0,http://www.drugbank.ca/drugs/DB00742,,
Compound,DB00220,Nelfinavir,DrugBank,CC BY-NC 4.0,http://www.drugbank.ca/drugs/DB00220,,
Compound,DB08874,Fidaxomicin,DrugBank,CC BY-NC 4.0,http://www.drugbank.ca/drugs/DB08874,,
Compound,DB00656,Trazodone,DrugBank,CC BY-NC 4.0,http://www.drugbank.ca/drugs/DB00656,,
Compound,DB00646,Nystatin,DrugBank,CC BY-NC 4.0,http://www.drugbank.ca/drugs/DB00646,,
Compound,DB01603,Meticillin,DrugBank,CC BY-NC 4.0,http://www.drugbank.ca/drugs/DB01603,,
Compound,DB08806,Roxatidine acetate,DrugBank,CC BY-NC 4.0,http://www.drugbank.ca/drugs/DB08806,,
Compound,DB00196,Fluconazole,DrugBank,CC BY-NC 4.0,http://www.drugbank.ca/drugs/DB00196,,
Compound,DB00800,Fenoldopam,DrugBank,CC BY-NC 4.0,http://www.drugbank.ca/drugs/DB00800,,
Compound,DB01028,Methoxyflurane,DrugBank,CC BY-NC 4.0,http://www.drugbank.ca/drugs/DB01028,,
Compound,DB00518,Albendazole,DrugBank,CC BY-NC 4.0,http://www.drugbank.ca/drugs/DB00518,,
Compound,DB00316,Acetaminophen,DrugBank,CC BY-NC 4.0,http://www.drugbank.ca/drugs/DB00316,,
Compound,DB00816,Orciprenaline,DrugBank,CC BY-NC 4.0,http://www.drugbank.ca/drugs/DB00816,,
Compound,DB00140,Riboflavin,DrugBank,CC BY-NC 4.0,http://www.drugbank.ca/drugs/DB00140,,
Compound,DB00275,Olmesartan,DrugBank,CC BY-NC 4.0,http://www.drugbank.ca/drugs/DB00275,,
Compound,DB00819,Acetazolamide,DrugBank,CC BY-NC 4.0,http://www.drugbank.ca/drugs/DB00819,,
Compound,DB00899,Remifentanil,DrugBank,CC BY-NC 4.0,http://www.drugbank.ca/drugs/DB00899,,
Compound,DB00281,Lidocaine,DrugBank,CC BY-NC 4.0,http://www.drugbank.ca/drugs/DB00281,,
Compound,DB00304,Desogestrel,DrugBank,CC BY-NC 4.0,http://www.drugbank.ca/drugs/DB00304,,
Compound,DB01249,Iodixanol,DrugBank,CC BY-NC 4.0,http://www.drugbank.ca/drugs/DB01249,,
Compound,DB04861,Nebivolol,DrugBank,CC BY-NC 4.0,http://www.drugbank.ca/drugs/DB04861,,
