kind,identifier,name,source,license,url,description,chromosome
Gene,5345,SERPINF2,Entrez Gene,CC0 1.0,http://identifiers.org/ncbigene/5345,"serpin peptidase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 2",17
Gene,9409,PEX16,Entrez Gene,CC0 1.0,http://identifiers.org/ncbigene/9409,peroxisomal biogenesis factor 16,11
Gene,10848,PPP1R13L,Entrez Gene,CC0 1.0,http://identifiers.org/ncbigene/10848,"protein phosphatase 1, regulatory subunit 13 like",19
Gene,121129,OR2AP1,Entrez Gene,CC0 1.0,http://identifiers.org/ncbigene/121129,"olfactory receptor, family 2, subfamily AP, member 1",12
Gene,432,ASGR1,Entrez Gene,CC0 1.0,http://identifiers.org/ncbigene/432,asialoglycoprotein receptor 1,17
Gene,120526,DNAJC24,Entrez Gene,CC0 1.0,http://identifiers.org/ncbigene/120526,"DnaJ (Hsp40) homolog, subfamily C, member 24",11
Gene,100506164,HSFX1,Entrez Gene,CC0 1.0,http://identifiers.org/ncbigene/100506164,"heat shock transcription factor family, X linked 1",X
Gene,22938,SNW1,Entrez Gene,CC0 1.0,http://identifiers.org/ncbigene/22938,SNW domain containing 1,14
Gene,4656,MYOG,Entrez Gene,CC0 1.0,http://identifiers.org/ncbigene/4656,myogenin (myogenic factor 4),1
Gene,7424,VEGFC,Entrez Gene,CC0 1.0,http://identifiers.org/ncbigene/7424,vascular endothelial growth factor C,4
Gene,6821,SUOX,Entrez Gene,CC0 1.0,http://identifiers.org/ncbigene/6821,sulfite oxidase,12
Gene,4154,MBNL1,Entrez Gene,CC0 1.0,http://identifiers.org/ncbigene/4154,muscleblind-like splicing regulator 1,3
Gene,55200,PLEKHG6,Entrez Gene,CC0 1.0,http://identifiers.org/ncbigene/55200,"pleckstrin homology domain containing, family G (with RhoGef domain) member 6",12
Gene,25790,CFAP45,Entrez Gene,CC0 1.0,http://identifiers.org/ncbigene/25790,cilia and flagella associated protein 45,1
Gene,10276,NET1,Entrez Gene,CC0 1.0,http://identifiers.org/ncbigene/10276,neuroepithelial cell transforming 1,10
Gene,2527,FUT5,Entrez Gene,CC0 1.0,http://identifiers.org/ncbigene/2527,"fucosyltransferase 5 (alpha (1,3) fucosyltransferase)",19
Gene,8633,UNC5C,Entrez Gene,CC0 1.0,http://identifiers.org/ncbigene/8633,unc-5 homolog C (C. elegans),4
Gene,1908,EDN3,Entrez Gene,CC0 1.0,http://identifiers.org/ncbigene/1908,endothelin 3,20
Gene,84811,BUD13,Entrez Gene,CC0 1.0,http://identifiers.org/ncbigene/84811,BUD13 homolog (S. cerevisiae),11
Gene,100506627,DCDC5,Entrez Gene,CC0 1.0,http://identifiers.org/ncbigene/100506627,doublecortin domain containing 5,11
Gene,6233,RPS27A,Entrez Gene,CC0 1.0,http://identifiers.org/ncbigene/6233,ribosomal protein S27a,2
Gene,90933,TRIM41,Entrez Gene,CC0 1.0,http://identifiers.org/ncbigene/90933,tripartite motif containing 41,5
Gene,4606,MYBPC2,Entrez Gene,CC0 1.0,http://identifiers.org/ncbigene/4606,"myosin binding protein C, fast type",19
Gene,27250,PDCD4,Entrez Gene,CC0 1.0,http://identifiers.org/ncbigene/27250,programmed cell death 4 (neoplastic transformation inhibitor),10
Gene,10712,FAM189B,Entrez Gene,CC0 1.0,http://identifiers.org/ncbigene/10712,"family with sequence similarity 189, member B",1
Gene,3987,LIMS1,Entrez Gene,CC0 1.0,http://identifiers.org/ncbigene/3987,LIM and senescent cell antigen-like domains 1,2
Gene,147906,DACT3,Entrez Gene,CC0 1.0,http://identifiers.org/ncbigene/147906,dishevelled-binding antagonist of beta-catenin 3,19
Gene,10109,ARPC2,Entrez Gene,CC0 1.0,http://identifiers.org/ncbigene/10109,"actin related protein 2/3 complex, subunit 2, 34kDa",2
Gene,105378955,LOC105378955,Entrez Gene,CC0 1.0,http://identifiers.org/ncbigene/105378955,tripartite motif-containing protein LOC642612,11
